RefseqId,GeneId,Chrom,TxStart,TxEnd,Strand,TotalReads,Rpkm
NM_001001565,Chpf,chr1,75474568,75479471,-,0,0
NM_001001566,Chpf,chr1,75474568,75479471,-,61,2.01004
NM_001001809,Olfr218,chr1,173203357,173204299,+,0,0
NM_001001880,Mpzl1,chr1,165592180,165634541,-,293,13.2678
NM_001001883,Hecw2,chr1,53806873,54195034,-,388,3.53625
NM_001001981,Utp14b,chr1,78657824,78667601,+,58,1.59929
NM_001003917,Atg9a,chr1,75180865,75191923,-,261,7.06488
NM_001003948,Pid1,chr1,84036292,84284645,-,79,3.01799
NM_001004173,Sgpp2,chr1,78310345,78420286,+,22,0.560652
NM_001005423,Mreg,chr1,72159232,72212307,-,1,0.0408688
NM_001005507,Smg7,chr1,152836994,152902646,-,429,7.54775
NM_001005508,Arhgap30,chr1,171388959,171410239,+,9,0.204362
NM_001005520,Olfr231,chr1,174117090,174118014,-,0,0
NM_001008419,Aox3l1,chr1,58278325,58379264,+,24,0.511989
NM_001008426,Gm5531,chr1,153874344,153876871,+,0,0
NM_001008533,Adora1,chr1,134199221,134235427,-,3,0.0528636
NM_001009940,Il19,chr1,130932655,130939241,-,0,0
NM_001011525,Olfr1415,chr1,92490817,92491753,-,0,0
NM_001011684,Nms,chr1,38939148,38950276,+,0,0
NM_001011873,Xkr9,chr1,13668770,13701723,+,0,0
NM_001011874,Xkr4,chr1,3214481,3671498,-,18,0.504663
NM_001012322,Sctr,chr1,120006979,120063532,+,0,0
NM_001012330,Zbtb18,chr1,177444660,177450764,+,217,5.76061
NM_001012623,Rims1,chr1,22288421,22432843,-,0,0
NM_001012623_dup1,Rims1,chr1,22468190,22805724,-,1,0.0542812
NM_001012624,Rims1,chr1,22468190,22805724,-,1,0.0542812
NM_001012625,Rims1,chr1,22468190,22805724,-,1,0.0542812
NM_001013025,Tgfbrap1,chr1,43047268,43098622,-,2090,38.451
NM_001013374,Lman2l,chr1,36423185,36445239,-,79,3.61752
NM_001013382,Lrrc52,chr1,167445674,167466780,-,0,0
NM_001013750,Gm597,chr1,28776121,28780252,-,0,0
NM_001013771,Gm973,chr1,59516263,59634509,+,4,0.113364
NM_001013779,Aim2,chr1,173420603,173466036,+,3,0.12048
