328
NM_001258471	NM_001258471	MissingGeneType
NM_079877	NM_079877	MissingGeneType
NR_123741	NR_123741	MissingGeneType
NR_123742	NR_123742	MissingGeneType
NM_079878	NM_079878	MissingGeneType
NM_001258473	NM_001258473	MissingGeneType
NM_001258472	NM_001258472	MissingGeneType
NR_073612	NR_073612	MissingGeneType
NR_073611	NR_073611	MissingGeneType
NM_001258475	NM_001258475	MissingGeneType
NR_073613	NR_073613	MissingGeneType
NM_079879	NM_079879	MissingGeneType
NM_166714	NM_166714	MissingGeneType
NM_001014685	NM_001014685	MissingGeneType
NM_001038709	NM_001038709	MissingGeneType
NM_079880	NM_079880	MissingGeneType
NM_001258476	NM_001258476	MissingGeneType
NM_166723	NM_166723	MissingGeneType
NM_001258477	NM_001258477	MissingGeneType
NM_166718	NM_166718	MissingGeneType
NM_166720	NM_166720	MissingGeneType
NM_166724	NM_166724	MissingGeneType
NM_001169348	NM_001169348	MissingGeneType
NM_175928	NM_175928	MissingGeneType
NM_175927	NM_175927	MissingGeneType
NM_175926	NM_175926	MissingGeneType
NM_001103379	NM_001103379	MissingGeneType
NM_205865	NM_205865	MissingGeneType
NM_166733	NM_166733	MissingGeneType
NM_166729	NM_166729	MissingGeneType
NM_166728	NM_166728	MissingGeneType
NR_073614	NR_073614	MissingGeneType
NM_001272114	NM_001272114	MissingGeneType
NM_166732	NM_166732	MissingGeneType
NM_166731	NM_166731	MissingGeneType
NM_166730	NM_166730	MissingGeneType
NM_166734	NM_166734	MissingGeneType
NM_001297780	NM_001297780	MissingGeneType
NM_166735	NM_166735	MissingGeneType
NM_001272117	NM_001272117	MissingGeneType
NM_001272116	NM_001272116	MissingGeneType
NM_001272115	NM_001272115	MissingGeneType
NM_001038712	NM_001038712	MissingGeneType
NM_001258478	NM_001258478	MissingGeneType
NR_123743	NR_123743	MissingGeneType
NM_001258479	NM_001258479	MissingGeneType
NM_001272118	NM_001272118	MissingGeneType
NM_143648	NM_143648	MissingGeneType
NM_166736	NM_166736	MissingGeneType
NM_001258480	NM_001258480	MissingGeneType
NM_166740	NM_166740	MissingGeneType
NM_166738	NM_166738	MissingGeneType
NM_166737	NM_166737	MissingGeneType
NM_143649	NM_143649	MissingGeneType
NR_123744	NR_123744	MissingGeneType
NM_001258481	NM_001258481	MissingGeneType
NM_166742	NM_166742	MissingGeneType
NM_001297781	NM_001297781	MissingGeneType
NM_001297782	NM_001297782	MissingGeneType
NM_001258483	NM_001258483	MissingGeneType
NM_001258482	NM_001258482	MissingGeneType
NM_166744	NM_166744	MissingGeneType
NM_166743	NM_166743	MissingGeneType
NM_143651	NM_143651	MissingGeneType
NM_001297783	NM_001297783	MissingGeneType
NM_166745	NM_166745	MissingGeneType
NM_143655	NM_143655	MissingGeneType
NR_133502	NR_133502	MissingGeneType
NM_143656	NM_143656	MissingGeneType
NM_001169352	NM_001169352	MissingGeneType
NM_001169351	NM_001169351	MissingGeneType
NM_001272120	NM_001272120	MissingGeneType
NM_001258485	NM_001258485	MissingGeneType
NM_001258484	NM_001258484	MissingGeneType
NM_205866	NM_205866	MissingGeneType
NM_166747	NM_166747	MissingGeneType
NM_166746	NM_166746	MissingGeneType
NM_001169350	NM_001169350	MissingGeneType
NM_001103381	NM_001103381	MissingGeneType
NM_001103380	NM_001103380	MissingGeneType
NM_001038713	NM_001038713	MissingGeneType
NM_001272121	NM_001272121	MissingGeneType
NM_001258487	NM_001258487	MissingGeneType
NM_143657	NM_143657	MissingGeneType
NM_001272122	NM_001272122	MissingGeneType
NM_205870	NM_205870	MissingGeneType
NR_073615	NR_073615	MissingGeneType
NM_001258488	NM_001258488	MissingGeneType
NM_205871	NM_205871	MissingGeneType
NM_166751	NM_166751	MissingGeneType
NM_166749	NM_166749	MissingGeneType
NM_166748	NM_166748	MissingGeneType
NM_001272123	NM_001272123	MissingGeneType
NM_166752	NM_166752	MissingGeneType
NM_143661	NM_143661	MissingGeneType
NM_001144383	NM_001144383	MissingGeneType
NM_001297784	NM_001297784	MissingGeneType
NM_205872	NM_205872	MissingGeneType
NM_143662	NM_143662	MissingGeneType
NM_001272124	NM_001272124	MissingGeneType
NM_166753	NM_166753	MissingGeneType
NM_001201587	NM_001201587	MissingGeneType
NM_001201588	NM_001201588	MissingGeneType
NM_001201586	NM_001201586	MissingGeneType
NM_001201585	NM_001201585	MissingGeneType
NM_001014688	NM_001014688	MissingGeneType
NM_001038714	NM_001038714	MissingGeneType
NM_166755	NM_166755	MissingGeneType
NM_166754	NM_166754	MissingGeneType
NM_001201589	NM_001201589	MissingGeneType
NM_001014689	NM_001014689	MissingGeneType
NM_001014687	NM_001014687	MissingGeneType
NM_079882	NM_079882	MissingGeneType
NM_205873	NM_205873	MissingGeneType
NM_001258491	NM_001258491	MissingGeneType
NM_166757	NM_166757	MissingGeneType
NM_166756	NM_166756	MissingGeneType
NM_001258493	NM_001258493	MissingGeneType
NM_001258492	NM_001258492	MissingGeneType
NM_205874	NM_205874	MissingGeneType
NM_166758	NM_166758	MissingGeneType
NR_123745	NR_123745	MissingGeneType
NR_073616	NR_073616	MissingGeneType
NR_144673	NR_144673	MissingGeneType
NR_047708	NR_047708	MissingGeneType
NR_073617	NR_073617	MissingGeneType
NM_143665	NM_143665	MissingGeneType
NM_079883	NM_079883	MissingGeneType
