328
NM_001258471	53103	64403	64403	2	5	0	0
NM_079877	53437	64403	64403	2	5	5	1
NR_123741	63399	63999	64403	1	2	10	2
NR_123742	65399	66699	64403	1	2	12	3
NM_079878	68335	76956	66699	2	6	14	4
NM_001258472	68335	76956	76956	2	6	20	6
NM_001258473	68335	77666	76956	2	6	26	5
NR_073612	77122	81599	77666	1	4	32	7
NR_073611	77122	83749	81599	1	4	36	8
NM_001258475	85850	87832	83749	2	4	40	9
NR_073613	86202	86270	87832	2	1	44	10
NM_079879	86822	87832	87832	2	2	45	11
NM_166714	86822	87832	87832	2	3	47	12
NM_001038709	89951	122044	87832	1	12	50	14
NM_079880	89951	129319	122044	1	13	62	15
NM_166723	89951	129319	129319	1	14	75	17
NM_001014685	89951	130395	129319	1	13	89	13
NM_001258476	89951	130684	130395	1	14	102	16
NM_166718	90278	130684	130684	1	12	116	19
NM_001258477	90278	134895	130684	1	12	128	18
NM_166720	91030	130684	134895	1	12	140	20
NM_166724	110980	130684	134895	1	5	152	21
NM_001169348	135699	150474	134895	2	12	157	22
NM_175926	137014	150077	150474	2	10	169	25
NM_175928	137014	150379	150474	2	11	179	23
NM_175927	137014	150379	150474	2	11	190	24
NM_166733	152845	160708	150474	1	11	201	28
NM_166729	152845	160708	160708	1	10	212	29
NM_166728	152845	160708	160708	1	9	222	30
NM_001103379	152845	163748	160708	1	10	231	26
NM_205865	152845	163748	163748	1	11	241	27
NR_073614	153299	153499	163748	2	1	252	31
NM_001272114	155391	163748	163748	1	8	253	32
NM_166731	156897	160708	163748	1	7	261	34
NM_166732	156897	163748	163748	1	9	268	33
NM_166730	156897	163748	163748	1	8	277	35
NM_166734	171389	174163	163748	1	5	285	36
NM_001297780	175279	176685	174163	2	3	290	37
NM_166735	175342	176685	176685	2	3	293	38
NM_001272117	178200	195765	176685	2	13	296	39
NM_001272116	178200	195765	195765	2	12	309	40
NM_001272115	178200	196264	195765	2	12	321	41
NM_001038712	187170	195765	196264	2	4	333	42
NM_001258478	187170	196264	196264	2	4	337	43
NR_123743	196080	196499	196264	1	2	341	44
NM_001258479	197973	200014	196499	2	5	343	45
NM_001272118	198063	200014	200014	2	5	348	46
NM_143648	198063	200014	200014	2	5	353	47
NM_166736	204701	214454	200014	2	10	358	48
NM_001258480	204850	210212	214454	2	9	368	49
NM_166740	204850	214114	214454	2	11	377	50
NM_143649	204850	214114	214454	2	10	388	53
NM_166738	204850	214454	214454	2	9	398	51
NM_166737	204850	214454	214454	2	10	407	52
NR_123744	215357	216525	214454	1	1	417	54
NM_001258481	217300	226570	216525	2	5	418	55
NM_166742	218317	226570	226570	2	5	423	56
NM_001297781	230849	233790	226570	1	4	428	57
NM_001297782	230849	233790	233790	1	6	432	58
