1	chr4	978796	978796	-
2	chr4	1052109	1052109	+
3	chr4	1105422	1105422	-
4	chr4	150475	150475	-
5	chr4	1144792	1144792	+
6	chr4	200015	200015	-
7	chr4	502596	502596	-
8	chr4	1052383	1052383	-
9	chr4	1049987	1049987	-
10	chr4	1147227	1147227	+
11	chr4	691767	691767	+
12	chr4	252475	252475	+
13	chr4	603733	603733	+
14	chr4	210213	210213	-
15	chr4	176686	176686	-
16	chr4	226571	226571	-
17	chr4	248374	248374	-
18	chr4	152845	152845	+
19	chr4	171389	171389	+
20	chr4	1167155	1167155	-
21	chr4	335548	335548	+
22	chr4	1206740	1206740	+
23	chr4	488122	488122	+
24	chr4	195766	195766	-
25	chr4	888449	888449	+
26	chr4	446692	446692	+
27	chr4	153500	153500	-
28	chr4	77122	77122	+
29	chr4	578480	578480	-
30	chr4	297148	297148	+
31	chr4	447956	447956	+
32	chr4	416021	416021	+
33	chr4	902096	902096	+
34	chr4	980300	980300	+
35	chr4	1048488	1048488	+
36	chr4	65399	65399	+
37	chr4	215357	215357	+
38	chr4	871799	871799	+
39	chr4	63399	63399	+
40	chr4	401349	401349	+
41	chr4	480393	480393	+
42	chr4	196080	196080	+
43	chr4	618900	618900	-
44	chr4	797772	797772	-
45	chr4	980060	980060	-
46	chr4	249738	249738	-
47	chr4	466129	466129	+
48	chr4	1074329	1074329	-
49	chr4	1234562	1234562	+
50	chr4	1143983	1143983	-
51	chr4	230849	230849	+
52	chr4	1234439	1234439	-
53	chr4	667182	667182	-
54	chr4	631309	631309	+
55	chr4	592380	592380	+
56	chr4	650316	650316	+
57	chr4	887651	887651	-
58	chr4	380563	380563	+
59	chr4	1168091	1168091	+
60	chr4	808240	808240	-
61	chr4	1219483	1219483	+
62	chr4	592180	592180	-
63	chr4	296995	296995	-
64	chr4	1217474	1217474	-
65	chr4	379283	379283	-
66	chr4	1047727	1047727	-
67	chr4	64404	64404	-
68	chr4	580289	580289	+
69	chr4	328718	328718	+
70	chr4	275622	275622	+
71	chr4	87833	87833	-
72	chr4	684246	684246	+
73	chr4	855019	855019	-
74	chr4	326787	326787	-
75	chr4	578480	578480	-
76	chr4	334713	334713	-
77	chr4	1085627	1085627	-
78	chr4	1085531	1085531	+
79	chr4	487454	487454	-
80	chr4	745025	745025	+
81	chr4	76957	76957	-
82	chr4	416231	416231	-
83	chr4	273955	273955	-
84	chr4	951341	951341	-
85	chr4	725276	725276	+
86	chr4	865155	865155	-
87	chr4	999115	999115	-
88	chr4	681234	681234	-
89	chr4	464537	464537	-
90	chr4	957444	957444	+
91	chr4	646657	646657	-
92	chr4	421391	421391	-
93	chr4	646751	646751	+
94	chr4	716681	716681	-
95	chr4	628275	628275	-
96	chr4	89951	89951	+
97	chr4	1202254	1202254	-
98	chr4	86271	86271	-
99	chr4	995793	995793	+
100	chr4	1109423	1109423	+
101	chr4	1010350	1010350	+
102	chr4	924652	924652	-
103	chr4	248547	248547	+
104	chr4	522435	522435	+
