3110
0	647	0
713	895	648
3396	3979	831
4038	8807	1415
10436	11300	6185
0	313	0
379	561	314
3062	3645	497
3704	8473	1081
10102	10966	5851
0	383	0
457	600	384
0	643	0
713	1300	644
0	2752	0
2806	2970	2753
3035	3547	2918
3604	4244	3431
4307	4674	4072
8121	8621	4440
0	2752	0
2806	2903	2753
3035	3547	2851
3604	4244	3364
4307	4674	4005
8121	8621	4373
0	2752	0
2806	2970	2753
3035	3547	2918
3604	4244	3431
4307	4674	4072
8581	9331	4440
0	52	0
743	914	53
3479	3918	225
4073	4477	665
0	52	0
743	914	53
3479	3918	225
6476	6627	665
0	296	0
775	824	297
880	1513	347
1615	1982	981
0	68	0
0	541	0
643	1010	542
0	541	0
643	794	542
851	1010	694
0	655	0
2995	3009	656
3078	3268	671
3491	3536	862
5742	5839	908
13312	13420	1006
16386	16473	1115
16527	16607	1203
17691	17840	1284
25097	25289	1434
28496	28649	1627
30080	32093	1781
0	523	0
2995	3009	524
3078	3268	539
3491	3536	730
5742	5839	776
13312	13420	874
16386	16473	983
16527	16607	1071
17691	17840	1152
25097	25289	1302
25511	25676	1495
30080	30149	1661
38077	39368	1731
0	655	0
2995	3009	656
3078	3268	671
3491	3536	862
5742	5839	908
13312	13420	1006
16386	16473	1115
16527	16607	1203
17691	17840	1284
25097	25289	1434
25511	25676	1627
30080	30149	1793
38077	39046	1863
39101	39368	2833
0	655	0
2995	3009	656
3078	3268	671
3491	3536	862
5742	5839	908
13312	13420	1006
16386	16473	1115
16527	16607	1203
17691	17840	1284
25097	25289	1434
28496	28649	1627
30080	30149	1781
38077	40444	1851
0	655	0
2995	3009	656
3078	3268	671
3491	3536	862
5742	5839	908
13312	13420	1006
16386	16473	1115
16527	16607	1203
17691	17840	1284
25097	25289	1434
28496	28649	1627
30080	30149	1781
34757	35202	1851
38077	40733	2297
0	196	0
2668	2941	197
3164	3209	471
5415	5512	517
12985	13093	615
16059	16146	724
16200	16280	812
17364	17513	893
24770	24962	1043
25184	25349	1236
29753	29822	1402
37750	40406	1472
0	328	0
2668	2941	329
3164	3209	603
5415	5512	649
12985	13093	747
16059	16146	856
16200	16280	944
17364	17513	1025
24770	24962	1175
25184	25349	1368
29753	29822	1534
37750	44617	1604
0	162	0
1916	2189	163
2412	2457	437
4663	4760	483
12233	12341	581
15307	15394	690
15448	15528	778
