chr4	53752	53816	-
chr4	54000	56499	-
chr4	57084	57141	-
chr4	61912	63539	-
chr4	63784	63856	+
chr4	66044	66112	+
chr4	71089	71141	-
chr4	71240	71370	-
chr4	71307	71370	-
chr4	71884	71939	-
chr4	72581	72642	-
chr4	73011	76456	-
chr4	73011	76916	-
chr4	77176	77865	+
chr4	78038	80601	+
chr4	81042	81195	+
chr4	81042	83598	+
chr4	86148	86625	-
chr4	86676	86730	-
chr4	87365	87465	-
chr4	87618	87673	-
chr4	90476	92946	+
chr4	90608	92946	+
chr4	91194	92946	+
chr4	92962	93029	+
chr4	93221	93442	+
chr4	93489	95693	+
chr4	95792	103263	+
chr4	103373	106337	+
chr4	106426	106478	+
chr4	106560	107642	+
chr4	107793	115048	+
chr4	113900	115048	+
chr4	115242	115462	+
chr4	115242	118447	+
chr4	115629	120031	+
chr4	118602	120031	+
chr4	120102	124708	+
chr4	120102	128028	+
chr4	125155	128028	+
chr4	128999	129052	+
chr4	135829	135883	-
chr4	136631	137311	-
chr4	137257	137311	-
chr4	139128	139180	-
chr4	139406	139463	-
chr4	139558	140513	-
chr4	140839	141483	-
chr4	142426	142478	-
chr4	142583	142934	-
chr4	144049	144410	-
chr4	144519	149947	-
chr4	150069	150180	-
chr4	150069	150295	-
chr4	150069	150423	-
chr4	152914	153811	+
chr4	153858	154213	+
chr4	153862	154213	+
chr4	154340	154420	+
chr4	154340	155296	+
chr4	154551	155450	+
chr4	155591	157504	+
chr4	156998	157316	+
chr4	157404	157504	+
chr4	157794	157848	+
chr4	157959	158016	+
chr4	158379	158432	+
chr4	158937	158999	+
chr4	159201	160447	+
chr4	159201	160895	+
chr4	162754	162825	+
chr4	171463	172367	+
chr4	172757	172820	+
chr4	173005	173064	+
chr4	173548	173609	+
chr4	175592	175652	-
chr4	175774	176390	-
chr4	179069	179125	-
chr4	179204	179269	-
chr4	179289	179847	-
chr4	179331	179847	-
chr4	180339	180392	-
chr4	180902	180957	-
chr4	181088	181150	-
chr4	181390	181447	-
chr4	185022	185087	-
chr4	185283	185340	-
chr4	185691	194736	-
chr4	194363	194736	-
chr4	194791	195410	-
chr4	195595	195735	-
chr4	195595	196141	-
chr4	195595	196147	-
chr4	196266	196324	+
chr4	198619	199403	-
chr4	199463	199562	-
chr4	199507	199562	-
chr4	199661	199717	-
chr4	199838	199886	-
chr4	199838	199889	-
chr4	205241	205295	-
chr4	205422	206452	-
chr4	206543	206603	-
chr4	207467	208622	-
chr4	208796	208855	-
chr4	208996	209050	-
chr4	209150	209203	-
chr4	209875	210151	-
chr4	209875	210623	-
chr4	209875	214298	-
chr4	210688	211934	-
chr4	210688	213969	-
chr4	210688	214170	-
chr4	210688	214298	-
chr4	212013	213969	-
chr4	222010	222066	-
chr4	222285	224605	-
chr4	225201	225265	-
chr4	225219	225265	-
chr4	225419	226284	-
chr4	225419	226366	-
chr4	230989	231063	+
chr4	231113	231183	+
chr4	231113	231207	+
chr4	231302	232264	+
chr4	231307	232215	+
